Species,Code,North America,,,,,,,
Island Canary,ISCA,3,,,,,,,
Ivory Gull,IVGU,3,,,,,,,
Juan Fernandez Petrel,JFPE,3,,,,,,,
La Sagra's Flycatcher,LSFL,3,,,,,,,
Laysan Duck,LAYD,3,,,,,,,
Laysan Finch,LAFI,3,,,,,,,
Little Stint,LIST,3,,,,,,,
Long-toed Stint,LTST,3,,,,,,,
Masked Duck,MADU,3,,,,,,,
McKay's Bunting,MKBU,3,,,,,,,
Mexican Violetear,MEVI,3,,,,,,,
Millerbird,MILL,3,,,,,,,
Morelet's Seedeater,MOSE,3,,,,,,,
Murphy's Petrel,MUPE,3,,,,,,,
Nazca Booby,NABO,3,,,,,,,
Nihoa Finch,NIFI,3,,,,,,,
Olive-backed Pipit,OBPI,3,,,,,,,
Pink-footed Goose,PFGO,3,,,,,,,
Red-billed Tropicbird,RBTR,3,,,,,,,
Red-necked Stint,RNST,3,,,,,,,
Red-throated Pipit,RTPI,3,,,,,,,
Rose-throated Becard,RTBE,3,,,,,,,
Ross's Gull,ROGU,3,,,,,,,
Ruddy Ground Dove,RGDO,3,,,,,,,
Ruff,RUFF,3,,,,,,,
Rufous-backed Robin,RBRO,3,,,,,,,
Rufous-capped Warbler,RCWA,3,,,,,,,
Rustic Bunting,RUBU,3,,,,,,,
Sharp-tailed Sandpiper,SPTS,3,,,,,,,
Shiny Cowbird,SHCO,3,,,,,,,
Short-tailed Albatross,STAL,3,,,,,,,
Siberian Pipit,SIPI,3,,,,,,,
Siberian Rubythroat,SIRU,3,,,,,,,
Siberian Sand-Plover,SISP,3,,,,,,,
Slaty-backed Gull,SBAG,3,,,,,,,
Smew,SMEW,3,,,,,,,
Smooth-billed Ani,SBAN,3,,,,,,,
Stejneger's Scoter,STSC,3,,,,,,,
Taiga Bean-Goose,TABG,3,,,,,,,
Temminck's Stint,TEST,3,,,,,,,
Terek Sandpiper,TESA,3,,,,,,,
Townsend's Storm-Petrel,TOSP,3,,,,,,,
Trindade Petrel,TRPE,3,,,,,,,
Tristram's Storm-Petrel,TRSP,3,,,,,,,
Tropical Parula,TRPA,3,,,,,,,
Tufted Duck,TUDU,3,,,,,,,
Tundra Bean-Goose,TUBG,3,,,,,,,
Vega Gull (Herring Gull),VEGU,3,,,,,,,
Western Spindalis,WESP,3,,,,,,,
White Wagtail,WHWA,3,,,,,,,
White-eared Hummingbird,WEHU,3,,,,,,,
White-faced Storm-Petrel,WFSP,3,,,,,,,
White-necked Petrel,WNPE,3,,,,,,,
Whooper Swan,WHOS,3,,,,,,,
Wood Sandpiper,WOSA,3,,,,,,,
Yellow-faced Grassquit,YFGR,3,,,,,,,
Yellow-green Vireo,YGVI,3,,,,,,,
Amur (Asian) Stonechat,ASST,3,,,,,,,
Asian Brown Flycatcher,ABFL,4,,,,,,,
Atlantic Yellow-nosed (Yellow-nosed) Albatross,YNAL,4,,,,,,,
Aztec Thrush,AZTH,4,,,,,,,
Bahama Mockingbird,BAMO,4,,,,,,,
Bahama Swallow,BAHS,4,,,,,,,
Baikal Teal,BATE,4,,,,,,,
Bananaquit,BANA,4,,,,,,,
Barolo Shearwater,BASH,4,,,,,,,
Black-browed Albatross,BBAL,4,,,,,,,
Black-faced Grassquit,BFGR,4,,,,,,,
Black-tailed Gull,BTGU,4,,,,,,,
Black-vented Oriole,BVOR,4,,,,,,,
Blue Bunting,BLBU,4,,,,,,,
Blue-footed Booby,BFBO,4,,,,,,,
Broad-billed Sandpiper,BBIS,4,,,,,,,
Brown Jay,BRJA,4,,,,,,,
Brown Shrike,BROS,4,,,,,,,
Brown-chested Martin,BCMA,4,,,,,,,
Common Chaffinch,CCHA,4,,,,,,,
Common Chiffchaff,CCHI,4,,,,,,,
Common Crane,CCRA,4,,,,,,,
Common Redshank,CREH,4,,,,,,,
Common Rosefinch,CORO,4,,,,,,,
Common Shelduck,COMS,4,,,,,,,
Common Swift,COSW,4,,,,,,,
Corn Crake,CORC,4,,,,,,,
Crescent-chested Warbler,CCWA,4,,,,,,,
Crimson-collared Grosbeak,CCGR,4,,,,,,,
Cuban Pewee,CUPE,4,,,,,,,
Dark-sided Flycatcher,DSFL,4,,,,,,,
Dusky Thrush,DUTH,4,,,,,,,
Dusky Warbler,DUWA,4,,,,,,,
Eared Quetzal,EAQU,4,,,,,,,
Eastern Spot-billed Duck,ESBD,4,,,,,,,
Eurasian Bullfinch,EUBU,4,,,,,,,
Eurasian Dotterel,EUDO,4,,,,,,,
Eurasian Hobby,EHOB,4,,,,,,,
Eurasian Jackdaw,EUJA,4,,,,,,,
Eurasian Kestrel,EUKE,4,,,,,,,
Eurasian Oystercatcher,EUOY,4,,,,,,,
European Golden-Plover,EUGP,4,,,,,,,
European Storm-Petrel,EUSP,4,,,,,,,
Falcated Duck,FADU,4,,,,,,,
Fan-tailed Warbler,FTWA,4,,,,,,,
Far Eastern Curlew,FECU,4,,,,,,,
Fieldfare,FIEL,4,,,,,,,
Garganey,GARG,4,,,,,,,
Golden-crowned Warbler,GCRW,4,,,,,,,
Gray Heron,GRAH,4,,,,,,,
Gray Wagtail,GRAW,4,,,,,,,
Gray-crowned Yellowthroat,GCYE,4,,,,,,,
Gray-streaked Flycatcher,GSFL,4,,,,,,,
Great Knot,GRKN,4,,,,,,,
Great Spotted Woodpecker,GSWO,4,,,,,,,
Green Sandpiper,GRSA,4,,,,,,,
Green-breasted Mango,GNBM,4,,,,,,,
Hawfinch,HAWF,4,,,,,,,
Herald Petrel,HEPE,4,,,,,,,
Jabiru,JABI,4,,,,,,,
Jack Snipe,JASN,4,,,,,,,
Kamchatka Leaf Warbler,KLWA,4,,,,,,,
Kelp Gull,KEGU,4,,,,,,,
Kermadec Petrel,KEPE,4,,,,,,,
Key West Quail-Dove,KWQD,4,,,,,,,
Lanceolated Warbler,LANW,4,,,,,,,
Lesser Frigatebird,LEFR,4,,,,,,,
Little Bunting,LIBU,4,,,,,,,
Little Egret,LIEG,4,,,,,,,
Little Tern,LITE,4,,,,,,,
Long-billed Murrelet,LBMU,4,,,,,,,
Marsh Sandpiper,MASA,4,,,,,,,
Middendorff's Grasshopper Warbler,MGRW,4,,,,,,,
Northern Jacana,NOJA,4,,,,,,,
Northern Lapwing,NOLA,4,,,,,,,
Nutting's Flycatcher,NUFL,4,,,,,,,
Oriental Cuckoo,ORCU,4,,,,,,,
Oriental Greenfinch,ORGR,4,,,,,,,
Oriental Turtle-Dove,ORTD,4,,,,,,,
Pacific (Fork-tailed) Swift,FTSW,4,,,,,,,
Pallas's Bunting,PALB,4,,,,,,,
Pechora Pipit,PEPI,4,,,,,,,
Pin-tailed Snipe,PTSN,4,,,,,,,
Piratic Flycatcher,PIRF,4,,,,,,,
Plain-capped Starthroat,PCST,4,,,,,,,
Providence Petrel,PRPE,4,,,,,,,
Red-flanked Bluetail,RFBL,4,,,,,,,
Red-legged Honeycreeper,RLHO,4,,,,,,,
Redwing,REDW,4,,,,,,,
Reed Bunting,REBU,4,,,,,,,
Roadside Hawk,ROHA,4,,,,,,,
Ruddy Quail-Dove,RUQD,4,,,,,,,
Rufous-tailed Robin,RTRO,4,,,,,,,
Siberian Accentor,SIAC,4,,,,,,,
Siberian House-Martin,SIHM,4,,,,,,,
Slate-throated Redstart,STRE,4,,,,,,,
Spoon-billed Sandpiper,SBSA,4,,,,,,,
Spotted Redshank,SPRE,4,,,,,,,
Stejneger's Petrel,STPE,4,,,,,,,
Steller's Sea-Eagle,STSE,4,,,,,,,
Streak-backed Oriole,SBAO,4,,,,,,,
Streaked Shearwater,STRS,4,,,,,,,
Taiga Flycatcher,TAFL,4,,,,,,,
Tamaulipas Crow,TACR,4,,,,,,,
Thick-billed Vireo,TBVI,4,,,,,,,
Tree Pipit,TRPI,4,,,,,,,
Tricolored Munia,TRMU,4,,,,,,,
Tufted Flycatcher,TUFL,4,,,,,,,
Variegated Flycatcher,VAFL,4,,,,,,,
Wedge-rumped Storm-Petrel,WRSP,4,,,,,,,
White-capped Albatross,WCAL,4,,,,,,,
White-cheeked Pintail,WCHP,4,,,,,,,
White-collared Swift,WCSW,4,,,,,,,
White-tailed Eagle,WTEA,4,,,,,,,
White-throated Thrush,WTTH,4,,,,,,,
White-winged Tern,WWTE,4,,,,,,,
Willow Warbler,WILW,4,,,,,,,
Wood Warbler,WOWA,4,,,,,,,
Yellow Grosbeak,YEGR,4,,,,,,,
Yellow-breasted Bunting,YBSB,4,,,,,,,
Yellow-browed Warbler,YBWA,4,,,,,,,
Yellow-legged Gull,YLGU,4,,,,,,,
Zenaida Dove,ZEND,4,,,,,,,
Ainley's Storm-Petrel,AISP,4,,,,,,,
Amazon Kingfisher,AMKI,5,,,,,,,
Amethyst-throated Mountain-gem,ATMG,5,,,,,,,
Antillean Palm Swift (Palm-Swift),ANPS,5,,,,,,,
Asian Rosy-Finch,ASRF,5,,,,,,,
Bahama Woodstar,BAWO,5,,,,,,,
Bare-throated Tiger-Heron,BTTH,5,,,,,,,
Bat Falcon,BAFA,5,,,,,,,
Belcher's Gull,BEGU,5,,,,,,,
Black Kite,BLAK,5,,,,,,,
Black-backed Oriole,BBOR,5,,,,,,,
Black-bellied Storm-Petrel,BBSP,5,,,,,,,
Black-headed Nightingale-Thrush,BHNT,5,,,,,,,
Black-winged Stilt,BWST,5,,,,,,,
Blue Mockingbird,BLMO,5,,,,,,,
Blue Rock-Thrush (Rock-thrush),BLRT,5,,,,,,,
Blue-and-white Swallow,BAWS,5,,,,,,,
Blue-black Grassquit,BGRA,5,,,,,,,
Blyth's Reed Warbler,BREW,5,,,,,,,
Brown-backed Solitaire,BBSO,5,,,,,,,
Bryan's Shearwater,BRYS,5,,,,,,,
Bumblebee Hummingbird,BUHU,5,,,,,,,
Cape Verde Shearwater,CVSH,5,,,,,,,
Chatham Albatross,CHAL,5,,,,,,,
Chinese Egret,CHEG,5,,,,,,,
Chinese Pond-Heron,CHPH,5,,,,,,,
Chinese Sparrowhawk,CHIS,5,,,,,,,
Cinnamon Hummingbird,CIHU,5,,,,,,,
Citrine Wagtail,CIWA,5,,,,,,,
Collared Forest-Falcon,COFF,5,,,,,,,
Collared Plover,COPL,5,,,,,,,
Common Redstart,CRET,5,,,,,,,
Common Scoter,COSC,5,,,,,,,
Common Wood-Pigeon (Wood Pigeon),CWPI,5,,,,,,,
Crane Hawk,CRHA,5,,,,,,,
Crowned Slaty Flycatcher,CSFL,5,,,,,,,
Cuban Martin,CUMA,5,,,,,,,
Cuban Vireo,CUVI,5,,,,,,,
Dark-billed Cuckoo,DBCU,5,,,,,,,
Double-striped Thick-knee,DSTK,5,,,,,,,
Double-toothed Kite,DTKI,5,,,,,,,
Eastern Cattle-Egret,EACE,5,,,,,,,
Eurasian (Common) Moorhen,COMO,5,,,,,,,
Eurasian Blackbird,EUBB,5,,,,,,,
Eurasian Coot,EUCO,5,,,,,,,
Eurasian Curlew,EUCU,5,,,,,,,
Eurasian Hoopoe,EHOO,5,,,,,,,
Eurasian Siskin,EUSI,5,,,,,,,
Eurasian Sparrowhawk,ESPA,5,,,,,,,
Eurasian Woodcock,EUWO,5,,,,,,,
Eurasian Wryneck,EUWR,5,,,,,,,
European Robin,EURO,5,,,,,,,
European Turtle-Dove,EUTD,5,,,,,,,
Gray Bunting,GRBU,5,,,,,,,
Gray Gull,GRGU,5,,,,,,,
Gray Nightjar,GRNI,5,,,,,,,
Gray Silky-flycatcher,GRSF,5,,,,,,,
Gray-breasted Martin,GYBM,5,,,,,,,
Gray-collared Becard,GCBE,5,,,,,,,
Gray-faced Petrel,GFPE,5,,,,,,,
Gray-hooded Gull,GHGU,5,,,,,,,
Graylag Goose,GRGO,5,,,,,,,
Great Black Hawk,GBHA,5,,,,,,,
Great Crested Tern,GCTE,5,,,,,,,
Greater Sand-Plover,GSAP,5,,,,,,,
Greenish Elaenia,GREL,5,,,,,,,
Hooded Crane,HOCR,5,,,,,,,
Icterine Warbler,ICWA,5,,,,,,,
Inca Tern,INTE,5,,,,,,,
Jouanin's Petrel,JOPE,5,,,,,,,
Kentish Plover,KEPL,5,,,,,,,
Large-billed Tern,LBTE,5,,,,,,,
Lesser White-fronted Goose,LWFG,5,,,,,,,
Lesser Whitethroat,LEWH,5,,,,,,,
Light-mantled Albatross,LMAL,5,,,,,,,
Little Curlew,LICU,5,,,,,,,
Little Ringed Plover,LRPL,5,,,,,,,
Loggerhead Kingbird,LOKI,5,,,,,,,
Long-legged Buzzard,LLBU,5,,,,,,,
Mangrove Swallow,MANS,5,,,,,,,
Masked Tityra,MATI,5,,,,,,,
Medium Egret,MEEG,5,,,,,,,
Mistle Thrush,MITH,5,,,,,,,
Mottled Owl,MOOW,5,,,,,,,
Mugimaki Flycatcher,MUFL,5,,,,,,,
Narcissus Flycatcher,NAFL,5,,,,,,,
Naumann's Thrush,NATH,5,,,,,,,
Northern Boobook,NOBB,5,,,,,,,
Northern Giant-Petrel,NOGP,5,,,,,,,
Orange-billed Nightingale-Thrush,OBNT,5,,,,,,,
Oriental Pratincole,ORPR,5,,,,,,,
Oriental Scops-Owl,ORSO,5,,,,,,,
Paint-billed Crake,PBCR,5,,,,,,,
Pallas's Grasshopper Warbler,PGWA,5,,,,,,,
Pallas's Gull,PAGU,5,,,,,,,
Pallas's Leaf Warbler,PLEW,5,,,,,,,
Pallas's Rosefinch,PARO,5,,,,,,,
Parkinson's Petrel,PAPE,5,,,,,,,
Pied Wheatear,PIWH,5,,,,,,,
Pine Bunting,PIBU,5,,,,,,,
Pine Flycatcher,PINF,5,,,,,,,
Red-backed Shrike,RBSH,5,,,,,,,
Red-footed Falcon,RFFA,5,,,,,,,
Red-legged Thrush,RLTH,5,,,,,,,
Ringed Storm-Petrel,RISP,5,,,,,,,
River Warbler,RIWA,5,,,,,,,
Rufous-necked Wood-Rail,RNWR,5,,,,,,,
Rufous-tailed Rock-Thrush,RTRT,5,,,,,,,
Salvin's Albatross,SAAL,5,,,,,,,
Scaly-naped Pigeon,SNPI,5,,,,,,,
Scarlet Ibis,SCIB,5,,,,,,,
Sedge Warbler,SEWA,5,,,,,,,
Siberian Blue Robin,SBRO,5,,,,,,,
Sinaloa Wren,SIWR,5,,,,,,,
Slender-billed Curlew,SBCU,5,,,,,,,
Small-billed Elaenia,SBEL,5,,,,,,,
Social Flycatcher,SOFL,5,,,,,,,
Solitary Snipe,SOSN,5,,,,,,,
Song Thrush,SOTH,5,,,,,,,
Southern Lapwing,SOLA,5,,,,,,,
Southern Martin,SOMA,5,,,,,,,
Spotted Flycatcher,SPFL,5,,,,,,,
Spotted Rail,SPRA,5,,,,,,,
Stygian Owl,STOW,5,,,,,,,
Sungrebe,SUNG,5,,,,,,,
Swallow-tailed Gull,STGU,5,,,,,,,
Swinhoe's Storm-Petrel,SSTP,5,,,,,,,
Tahiti Petrel,TAPE,5,,,,,,,
Tawny-shouldered Blackbird,TSBL,5,,,,,,,
Thick-billed Parrot,TBPA,5,,,,,,,
Thick-billed Warbler,TBWA,5,,,,,,,
Wandering Albatross (sp.),WAAL,5,,,,,,,
Western Marsh Harrier,WMHA,5,,,,,,,
Western Reef-Heron,WERH,5,,,,,,,
Whiskered Tern,WHST,5,,,,,,,
White-chinned Petrel,WCPE,5,,,,,,,
White-crested Elaenia,WCEL,5,,,,,,,
White-throated Needletail,WTNE,5,,,,,,,
Worthen's Sparrow,WOSP,5,,,,,,,
Xantus's Hummingbird,XAHU,5,,,,,,,
Yellow Bittern,YEBI,5,,,,,,,
Yellow-browed Bunting,YBWB,5,,,,,,,
Yellow-headed Caracara,YHCA,5,,,,,,,
Yellow-throated Bunting,YTBU,5,,,,,,,
Yucatan Vireo,YUVI,5,,,,,,,
Zino's Petrel,ZIPE,5,,,,,,,
African Collared-Dove (1969-1994),AFCD,5,,,,,,,
Amaui,AMAU,6,6,6,6,6,6,6,6
"Bachman's Warbler (extinct, 1937)",BAWA,6,6,6,6,6,6,6,6
Bishop's Oo,BIOO,6,6,6,6,6,6,6,6
Black Mamo,BLMA,6,6,6,6,6,6,6,6
Blue-gray Tanager (1969-1982),BGTA,6,6,6,6,6,6,6,6
Budgerigar (1975-2015),BUDG,6,6,6,6,6,6,6,6
"Carolina Parakeet (extinct, 1939)",CAPA,6,6,6,6,6,6,6,6
Crested Myna (1969-2003),CRMY,6,6,6,6,6,6,6,6
"Eskimo Curlew (extinct, 1962)",ESCU,6,6,6,6,6,6,6,6
"Great Auk (extinct, 1844)",GRAU,6,6,6,6,6,6,6,6
Greater Amakihi,GRAM,6,6,6,6,6,6,6,6
Greater Koa-Finch,GRKF,6,6,6,6,6,6,6,6
Hawaii Mamo,HAMA,6,6,6,6,6,6,6,6
Hawaii Oo,HAOO,6,6,6,6,6,6,6,6
Hawaiian Crow,HCRO,6,6,6,6,6,6,6,6
Hawaiian Rail,HARA,6,6,6,6,6,6,6,6
"Ivory-billed Woodpecker (extinct, 1944)",IBWO,6,6,6,6,6,6,6,6
Kakawahie,KAKA,6,6,6,6,6,6,6,6
Kamao,KAMA,6,6,6,6,6,6,6,6
Kauai Akialoa,KAAK,6,6,6,6,6,6,6,6
Kauai Nukupuu,KANU,6,6,6,6,6,6,6,6
Kauai Oo,KAOO,6,6,6,6,6,6,6,6
Kioea,KIOE,6,6,6,6,6,6,6,6
Kona Grosbeak,KOGR,6,6,6,6,6,6,6,6
"Labrador Duck (extinct, 1858)",LABD,6,6,6,6,6,6,6,6
Lanai Hookbill,LANH,6,6,6,6,6,6,6,6
Laysan Honeycreeper,LAYH,6,6,6,6,6,6,6,6
Laysan Rail,LARA,6,6,6,6,6,6,6,6
Lesser Akialoa,LEAK,6,6,6,6,6,6,6,6
Lesser Koa-Finch,LEKF,6,6,6,6,6,6,6,6
Maui Akepa,MAAK,6,6,6,6,6,6,6,6
Maui Nukupuu,MANU,6,6,6,6,6,6,6,6
Maui-nui Akialoa,MNAK,6,6,6,6,6,6,6,6
Oahu Akepa,OAKE,6,6,6,6,6,6,6,6
Oahu Akialoa,OAKI,6,6,6,6,6,6,6,6
Oahu Alauahio,OAAL,6,6,6,6,6,6,6,6
Oahu Nukupuu,OANU,6,6,6,6,6,6,6,6
Oahu Oo,OAOO,6,6,6,6,6,6,6,6
Olomao,OLOM,6,6,6,6,6,6,6,6
Ou,OU,6,6,6,6,6,6,6,6
"Passenger Pigeon (extinct, 1914)",PAPI,6,6,6,6,6,6,6,6
Poo-uli,POUL,6,6,6,6,6,6,6,6
Ula-ai-hawane,UAIH,6,6,6,6,6,6,6,6
Yellow-headed Amazon (Parrot) (1975-1982),YHPA,6,6,6,6,6,6,6,6
